,VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnOver,SalesToPurchaseRatio
195,3089,SIDNEY FRANK IMPORTING CO,812,Jagermeister Liqueur,17.03,22.99,1000.0,58652,998843.56,28404.0,615126.96,295464.17,29824.2,8549.55,-383716.6000000001,-62.38006540958636,0.48428016094932824,0.6158391410162367
196,1392,CONSTELLATION BRANDS INC,40097,Black Box Chard,10.59,16.99,3000.0,94268,998298.12,46633.0,846024.6699999999,363026.69999999995,20984.850000000002,79528.99,-152273.45000000007,-17.998700912586873,0.4946853651292061,0.8474669570648895
197,9552,M S WALKER INC,40425,Mionetto Prosecco Brut,6.42,13.99,750.0,153824,987550.08,71491.0,874482.17,221874.11000000002,8012.08,55551.82,-113067.90999999992,-12.92969872673332,0.4647584252132307,0.8855066570396106
198,12546,JIM BEAM BRANDS COMPANY,3696,Gilbeys Vodka,7.6,10.49,1750.0,129940,987544.0,63768.0,676805.3200000001,280838.92,117159.2,123880.97,-310738.67999999993,-45.91256463527797,0.49074957672772046,0.6853419391946081
199,8112,MOET HENNESSY USA INC,821,Grand Marnier,27.99,38.99,1000.0,35124,983120.76,16970.0,652228.3,370428.89,17818.5,48347.26,-330892.45999999996,-50.73261310495113,0.4831454276278328,0.6634264340018616
200,12546,JIM BEAM BRANDS COMPANY,2788,Laphroaig 10 Yr Single Malt,31.24,44.99,750.0,31444,982310.5599999999,15137.0,679268.63,436568.25,11927.25,123880.97,-303041.92999999993,-44.61297292648417,0.4813954967561379,0.6915008935666944
201,1128,BROWN-FORMAN CORP,171,Gentleman Jack,36.76,49.99,1750.0,26656,979874.56,12984.0,667005.16,467524.30000000005,23867.13,68601.68,-312869.4,-46.906593646142106,0.48709483793517405,0.6807046403980526
202,480,BACARDI USA INC,3436,Bombay Dry Gin,18.79,26.99,1750.0,51800,973322.0,23922.0,618950.78,360129.25999999995,43962.49,89286.27,-354371.22,-57.25353799537986,0.46181467181467184,0.6359157401147821
203,4425,MARTIGNETTI COMPANIES,39335,Phillips Seven Deadly Znfdl,8.75,14.99,750.0,110012,962605.0,51308.0,714612.84,253309.02,5738.56,144929.24,-247992.16000000003,-34.703009254633606,0.4663854852197942,0.7423739124563035
204,12546,JIM BEAM BRANDS COMPANY,4678,Courvoisier VS Cognac,16.78,24.99,750.0,57212,960017.3600000001,28108.0,649962.9199999999,323747.41,22139.77,123880.97,-310054.4400000002,-47.70340437266794,0.491295532405789,0.6770324653295852
205,4425,MARTIGNETTI COMPANIES,32826,Rombauer Carneros Chard,22.41,34.99,750.0,42564,953859.24,20274.0,687663.98,250676.50000000003,2265.19,144929.24,-266195.26,-38.71007755851921,0.4763180152241331,0.7209281528792445
