,VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnOver,SalesToPurchaseRatio,UnitPurchasePrice,OrderSize,UnsoldInventoryValue
44,653,STATE WINE & SPIRITS,9136,Caffo Amaretto Liqueur,10.81,16.99,750.0,868,9383.08,747.0,11179.03,7267.19,588.76,8014.9800000000005,1795.9500000000007,16.065347351246043,0.8605990783410138,1.191403036103284,10.81,Large,1308.01
45,9552,M S WALKER INC,23357,Saddleback Clrs 09 Cab Svgn,24.51,37.99,750.0,380,9313.8,1239.0,47069.61,22490.08,138.03,55551.82,37755.81,80.21271049409586,3.2605263157894737,5.053749275268956,24.509999999999998,Large,-21054.09
46,12546,JIM BEAM BRANDS COMPANY,2953,Bowmore Mizurana,746.26,999.99,750.0,12,8955.119999999999,11.0,10999.89,5999.9400000000005,8.66,123880.97,2044.7700000000004,18.589004071858906,0.9166666666666666,1.228335298689465,746.2599999999999,Small,746.26
47,4425,MARTIGNETTI COMPANIES,82,Hundred Acre Ark Vy Cab Svgn,248.34,374.99,750.0,36,8940.24,33.0,12374.67,6374.83,3.7,144929.24,3434.4300000000003,27.753709795897592,0.9166666666666666,1.384154116668009,248.34,Medium,745.02
48,9165,ULTRA BEVERAGE COMPANY LLP,15549,CastelGiocondo Brunello 07,27.58,39.99,750.0,320,8825.6,657.0,26273.43,11877.03,73.22,68054.7,17447.83,66.4086493465071,2.053125,2.9769568074691803,27.580000000000002,Large,-9294.46
49,9165,ULTRA BEVERAGE COMPANY LLP,2636,Nikka Whisky Taketsuru 12 Yr,48.83,68.99,750.0,180,8789.4,308.0,20816.92,13740.97,242.85,68054.7,12027.519999999999,57.777615516608606,1.711111111111111,2.3684119507588686,48.83,Large,-6250.24
50,1392,CONSTELLATION BRANDS INC,2153,Black Velvet Cinnamon Rush,6.61,8.99,750.0,1328,8778.08,1632.0,16303.68,10989.0,1286.54,79528.99,7525.6,46.158904002041254,1.2289156626506024,1.8573173176822266,6.61,Large,-2009.44
51,12546,JIM BEAM BRANDS COMPANY,3236,Pinnacle Pecan Pie,6.78,12.99,750.0,1232,8352.960000000001,999.0,9484.01,4928.81,787.3100000000001,123880.97,1131.0499999999993,11.925862583443072,0.8108766233766234,1.135407089223461,6.780000000000001,Large,1579.74
52,653,STATE WINE & SPIRITS,9115,Caffo Limoncino Dell'l Sola,10.35,16.99,750.0,792,8197.2,833.0,12202.67,7249.08,656.45,8014.9800000000005,4005.4699999999993,32.82453758070979,1.0517676767676767,1.4886388034938758,10.350000000000001,Large,-424.34999999999997
53,4425,MARTIGNETTI COMPANIES,20693,Daou Cab Svgn,13.24,32.99,750.0,608,8049.92,1239.0,24767.61,5637.179999999999,138.89000000000001,144929.24,16717.690000000002,67.49819623290257,2.0378289473684212,3.076752315550962,13.24,Large,-8354.44
54,4425,MARTIGNETTI COMPANIES,23840,Roth Est Red Heritage Sonoma,11.68,17.99,750.0,688,8035.84,769.0,13834.31,6332.48,85.69,144929.24,5798.469999999999,41.91369139480032,1.117732558139535,1.721576089120739,11.68,Large,-946.0799999999999
